Survey Years,Sex,Age Group,Race and Hispanic Origin,Nutrient,Mean,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Note1,Note2,Notea,Noteb
1999-2000,All,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,All,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,2-5,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,6-11,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,12-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Female,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,2-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,2-5,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,6-11,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,12-19,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,20 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,20-29,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,30-39,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,40-49,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,50-59,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,60-69,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
1999-2000,Male,70 and over,All,Vitamin D,,,,,,Data for vitamin D intake are only available from 2007-2008 onward.,,†
2001-2002,All,2-19,All,Calcium,978.2,21.6,935.5,"1,020.9",,,,
2001-2002,All,2-19,Non-Hispanic White,Calcium,"1,021.9",38.2,946.5,"1,097.4",,,,
2001-2002,All,2-19,Non-Hispanic Black,Calcium,795.1,19.0,757.5,832.8,,,,
2001-2002,All,2-19,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Mexican American,Calcium,987.8,40.1,908.7,"1,067.0",,,,
2001-2002,All,2-5,All,Calcium,967.0,33.4,901.0,"1,033.0",,,,
2001-2002,All,6-11,All,Calcium,964.6,19.7,925.7,"1,003.5",,,,
2001-2002,All,12-19,All,Calcium,993.8,33.7,927.3,"1,060.4",,,,
2001-2002,All,20 and over,All,Calcium,872.2,19.3,834.1,910.3,,,,
2001-2002,All,20 and over,Non-Hispanic White,Calcium,928.3,26.3,876.4,980.1,,,,
2001-2002,All,20 and over,Non-Hispanic Black,Calcium,653.0,21.8,609.9,696.2,,,,
2001-2002,All,20 and over,Non-Hispanic Asian,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Hispanic,Calcium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Mexican American,Calcium,879.1,19.2,841.1,917.1,,,,
2001-2002,All,20-29,All,Calcium,979.3,48.3,883.9,"1,074.7",,,,
2001-2002,All,30-39,All,Calcium,958.0,35.2,888.6,"1,027.5",,,,
2001-2002,All,40-49,All,Calcium,864.9,32.3,801.1,928.7,,,,
2001-2002,All,50-59,All,Calcium,817.2,24.7,768.3,866.0,,,,
2001-2002,All,60-69,All,Calcium,749.1,31.1,687.6,810.7,,,,
2001-2002,All,70 and over,All,Calcium,725.0,19.6,686.3,763.7,,,,
2001-2002,Female,2-19,All,Calcium,849.5,16.4,817.0,882.0,,,,
2001-2002,Female,2-5,All,Calcium,911.1,38.3,835.4,986.7,,,,
2001-2002,Female,6-11,All,Calcium,847.5,22.7,802.6,892.4,,,,
2001-2002,Female,12-19,All,Calcium,820.2,33.1,754.9,885.6,,,,
2001-2002,Female,20 and over,All,Calcium,758.6,17.1,724.7,792.5,,,,
2001-2002,Female,20-29,All,Calcium,829.4,28.5,773.1,885.7,,,,
2001-2002,Female,30-39,All,Calcium,824.5,40.7,744.2,904.9,,,,
2001-2002,Female,40-49,All,Calcium,745.5,33.8,678.7,812.2,,,,
2001-2002,Female,50-59,All,Calcium,748.1,24.6,699.6,796.6,,,,
2001-2002,Female,60-69,All,Calcium,652.3,17.1,618.4,686.1,,,,
2001-2002,Female,70 and over,All,Calcium,664.1,29.5,605.8,722.4,,,,
2001-2002,Male,2-19,All,Calcium,"1,106.7",32.4,"1,042.8","1,170.6",,,,
2001-2002,Male,2-5,All,Calcium,"1,029.2",38.3,953.5,"1,104.9",,,,
2001-2002,Male,6-11,All,Calcium,"1,071.5",42.4,987.6,"1,155.3",,,,
2001-2002,Male,12-19,All,Calcium,"1,170.0",42.8,"1,085.5","1,254.5",,,,
2001-2002,Male,20 and over,All,Calcium,994.2,29.9,935.1,"1,053.3",,,,
2001-2002,Male,20-29,All,Calcium,"1,150.2",90.9,970.5,"1,329.8",,,,
2001-2002,Male,30-39,All,Calcium,"1,094.8",46.8,"1,002.3","1,187.4",,,,
2001-2002,Male,40-49,All,Calcium,977.8,40.6,897.6,"1,058.0",,,,
2001-2002,Male,50-59,All,Calcium,883.0,42.1,799.8,966.2,,,,
2001-2002,Male,60-69,All,Calcium,873.1,55.2,764.0,982.2,,,,
2001-2002,Male,70 and over,All,Calcium,807.6,25.3,757.6,857.7,,,,
2001-2002,All,2-19,All,Dietary Fiber,12.6,0.2,12.1,13.0,,,,
2001-2002,All,2-19,Non-Hispanic White,Dietary Fiber,12.4,0.3,11.8,13.0,,,,
2001-2002,All,2-19,Non-Hispanic Black,Dietary Fiber,11.9,0.4,11.2,12.7,,,,
2001-2002,All,2-19,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Mexican American,Dietary Fiber,13.9,0.4,13.1,14.8,,,,
2001-2002,All,2-5,All,Dietary Fiber,10.7,0.3,10.2,11.2,,,,
2001-2002,All,6-11,All,Dietary Fiber,12.4,0.3,11.9,12.9,,,,
2001-2002,All,12-19,All,Dietary Fiber,13.6,0.4,12.9,14.3,,,,
2001-2002,All,20 and over,All,Dietary Fiber,16.2,0.4,15.5,17.0,,,,
2001-2002,All,20 and over,Non-Hispanic White,Dietary Fiber,16.5,0.5,15.6,17.4,,,,
2001-2002,All,20 and over,Non-Hispanic Black,Dietary Fiber,14.1,0.7,12.8,15.5,,,,
2001-2002,All,20 and over,Non-Hispanic Asian,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Hispanic,Dietary Fiber,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Mexican American,Dietary Fiber,18.5,0.5,17.5,19.4,,,,
2001-2002,All,20-29,All,Dietary Fiber,15.6,0.8,14.1,17.2,,,,
2001-2002,All,30-39,All,Dietary Fiber,16.4,0.5,15.3,17.4,,,,
2001-2002,All,40-49,All,Dietary Fiber,17.0,0.7,15.7,18.3,,,,
2001-2002,All,50-59,All,Dietary Fiber,16.0,0.7,14.7,17.4,,,,
2001-2002,All,60-69,All,Dietary Fiber,16.9,0.7,15.5,18.3,,,,
2001-2002,All,70 and over,All,Dietary Fiber,15.2,0.5,14.3,16.2,,,,
2001-2002,Female,2-19,All,Dietary Fiber,11.5,0.2,11.0,11.9,,,,
2001-2002,Female,2-5,All,Dietary Fiber,10.4,0.4,9.7,11.2,,,,
2001-2002,Female,6-11,All,Dietary Fiber,11.7,0.4,11.0,12.4,,,,
2001-2002,Female,12-19,All,Dietary Fiber,11.8,0.3,11.2,12.4,,,,
2001-2002,Female,20 and over,All,Dietary Fiber,14.5,0.3,14.0,15.0,,,,
2001-2002,Female,20-29,All,Dietary Fiber,13.9,0.4,13.0,14.7,,,,
2001-2002,Female,30-39,All,Dietary Fiber,14.1,0.6,12.9,15.3,,,,
2001-2002,Female,40-49,All,Dietary Fiber,14.7,0.4,13.8,15.5,,,,
2001-2002,Female,50-59,All,Dietary Fiber,14.8,0.7,13.5,16.2,,,,
2001-2002,Female,60-69,All,Dietary Fiber,15.8,0.8,14.3,17.3,,,,
2001-2002,Female,70 and over,All,Dietary Fiber,14.1,0.7,12.7,15.4,,,,
2001-2002,Male,2-19,All,Dietary Fiber,13.7,0.4,13.0,14.4,,,,
2001-2002,Male,2-5,All,Dietary Fiber,11.0,0.3,10.3,11.6,,,,
2001-2002,Male,6-11,All,Dietary Fiber,13.0,0.4,12.3,13.8,,,,
2001-2002,Male,12-19,All,Dietary Fiber,15.4,0.6,14.3,16.6,,,,
2001-2002,Male,20 and over,All,Dietary Fiber,18.2,0.6,17.1,19.2,,,,
2001-2002,Male,20-29,All,Dietary Fiber,17.7,1.4,15.0,20.4,,,,
2001-2002,Male,30-39,All,Dietary Fiber,18.7,0.6,17.5,19.9,,,,
2001-2002,Male,40-49,All,Dietary Fiber,19.3,1.0,17.3,21.2,,,,
2001-2002,Male,50-59,All,Dietary Fiber,17.1,1.0,15.1,19.2,,,,
2001-2002,Male,60-69,All,Dietary Fiber,18.3,0.9,16.5,20.1,,,,
2001-2002,Male,70 and over,All,Dietary Fiber,16.9,0.6,15.7,18.0,,,,
2001-2002,All,2-19,All,Iron,14.8,0.3,14.3,15.3,,,,
2001-2002,All,2-19,Non-Hispanic White,Iron,14.6,0.4,13.9,15.4,,,,
2001-2002,All,2-19,Non-Hispanic Black,Iron,14.6,0.5,13.7,15.6,,,,
2001-2002,All,2-19,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Mexican American,Iron,15.3,0.6,14.1,16.4,,,,
2001-2002,All,2-5,All,Iron,12.5,0.3,11.9,13.0,,,,
2001-2002,All,6-11,All,Iron,14.4,0.3,13.8,15.1,,,,
2001-2002,All,12-19,All,Iron,16.2,0.4,15.5,17.0,,,,
2001-2002,All,20 and over,All,Iron,15.8,0.3,15.1,16.4,,,,
2001-2002,All,20 and over,Non-Hispanic White,Iron,16.1,0.4,15.3,16.9,,,,
2001-2002,All,20 and over,Non-Hispanic Black,Iron,14.8,0.6,13.6,16.0,,,,
2005-2006,Male,2 and over,All,Dietary Fiber,16.8,0.3,16.2,17.4,,,,
2001-2002,All,20 and over,Non-Hispanic Asian,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Hispanic,Iron,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Mexican American,Iron,15.9,0.6,14.6,17.2,,,,
2001-2002,All,20-29,All,Iron,17.2,0.6,16.0,18.4,,,,
2001-2002,All,30-39,All,Iron,16.5,0.6,15.3,17.8,,,,
2001-2002,All,40-49,All,Iron,15.7,0.4,14.9,16.5,,,,
2001-2002,All,50-59,All,Iron,14.7,0.5,13.7,15.7,,,,
2001-2002,All,60-69,All,Iron,15.1,0.6,14.0,16.3,,,,
2001-2002,All,70 and over,All,Iron,13.9,0.3,13.3,14.4,,,,
2001-2002,Female,2-19,All,Iron,12.9,0.2,12.5,13.4,,,,
2001-2002,Female,2-5,All,Iron,12.0,0.4,11.1,12.8,,,,
2001-2002,Female,6-11,All,Iron,12.7,0.3,12.1,13.2,,,,
2001-2002,Female,12-19,All,Iron,13.6,0.4,12.8,14.4,,,,
2001-2002,Female,20 and over,All,Iron,13.4,0.2,13.0,13.9,,,,
2001-2002,Female,20-29,All,Iron,14.7,0.5,13.8,15.6,,,,
2001-2002,Female,30-39,All,Iron,13.5,0.5,12.5,14.4,,,,
2001-2002,Female,40-49,All,Iron,13.0,0.3,12.4,13.6,,,,
2001-2002,Female,50-59,All,Iron,13.1,0.5,12.0,14.1,,,,
2001-2002,Female,60-69,All,Iron,13.2,0.5,12.1,14.2,,,,
2001-2002,Female,70 and over,All,Iron,12.5,0.3,11.9,13.2,,,,
2001-2002,Male,2-19,All,Iron,16.7,0.4,15.8,17.5,,,,
2001-2002,Male,2-5,All,Iron,13.0,0.4,12.3,13.8,,,,
2001-2002,Male,6-11,All,Iron,16.0,0.5,15.1,17.0,,,,
2001-2002,Male,12-19,All,Iron,18.9,0.6,17.7,20.1,,,,
2001-2002,Male,20 and over,All,Iron,18.3,0.5,17.3,19.2,,,,
2001-2002,Male,20-29,All,Iron,20.1,1.0,18.1,22.2,,,,
2001-2002,Male,30-39,All,Iron,19.7,0.8,18.1,21.2,,,,
2001-2002,Male,40-49,All,Iron,18.3,0.7,16.9,19.6,,,,
2001-2002,Male,50-59,All,Iron,16.2,0.8,14.7,17.8,,,,
2001-2002,Male,60-69,All,Iron,17.6,0.9,15.9,19.4,,,,
2001-2002,Male,70 and over,All,Iron,15.6,0.3,15.0,16.3,,,,
2001-2002,All,2-19,All,Potassium,"2,271.4",42.6,"2,187.2","2,355.6",,,,
2001-2002,All,2-19,Non-Hispanic White,Potassium,"2,255.4",61.4,"2,134.0","2,376.8",,,,
2001-2002,All,2-19,Non-Hispanic Black,Potassium,"2,170.2",63.3,"2,045.2","2,295.2",,,,
2001-2002,All,2-19,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Mexican American,Potassium,"2,371.5",62.8,"2,247.3","2,495.6",,,,
2001-2002,All,2-5,All,Potassium,"2,107.9",44.7,"2,019.6","2,196.1",,,,
2001-2002,All,6-11,All,Potassium,"2,191.6",58.1,"2,076.7","2,306.5",,,,
2001-2002,All,12-19,All,Potassium,"2,409.7",48.8,"2,313.3","2,506.1",,,,
2001-2002,All,20 and over,All,Potassium,"2,765.9",41.9,"2,683.1","2,848.8",,,,
2001-2002,All,20 and over,Non-Hispanic White,Potassium,"2,859.7",59.6,"2,742.0","2,977.5",,,,
2001-2002,All,20 and over,Non-Hispanic Black,Potassium,"2,362.0",81.5,"2,201.0","2,523.0",,,,
2001-2002,All,20 and over,Non-Hispanic Asian,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Hispanic,Potassium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Mexican American,Potassium,"2,762.0",64.2,"2,635.3","2,888.8",,,,
2001-2002,All,20-29,All,Potassium,"2,646.4",103.9,"2,441.1","2,851.7",,,,
2001-2002,All,30-39,All,Potassium,"2,902.8",74.2,"2,756.3","3,049.3",,,,
2001-2002,All,40-49,All,Potassium,"2,882.2",62.3,"2,759.1","3,005.4",,,,
2001-2002,All,50-59,All,Potassium,"2,807.7",67.6,"2,674.2","2,941.1",,,,
2001-2002,All,60-69,All,Potassium,"2,703.2",74.1,"2,556.7","2,849.6",,,,
2001-2002,All,70 and over,All,Potassium,"2,486.8",49.7,"2,388.7","2,585.0",,,,
2001-2002,Female,2-19,All,Potassium,"2,026.9",41.2,"1,945.6","2,108.3",,,,
2001-2002,Female,2-5,All,Potassium,"2,010.8",58.1,"1,896.1","2,125.5",,,,
2001-2002,Female,6-11,All,Potassium,"2,028.5",60.4,"1,909.2","2,147.8",,,,
2001-2002,Female,12-19,All,Potassium,"2,033.9",47.5,"1,940.0","2,127.8",,,,
2001-2002,Female,20 and over,All,Potassium,"2,382.9",36.3,"2,311.3","2,454.5",,,,
2001-2002,Female,20-29,All,Potassium,"2,205.7",42.9,"2,120.9","2,290.5",,,,
2001-2002,Female,30-39,All,Potassium,"2,438.5",86.5,"2,267.7","2,609.3",,,,
2001-2002,Female,40-49,All,Potassium,"2,464.2",56.3,"2,353.0","2,575.3",,,,
2001-2002,Female,50-59,All,Potassium,"2,500.8",69.4,"2,363.7","2,637.8",,,,
2001-2002,Female,60-69,All,Potassium,"2,427.0",59.0,"2,310.4","2,543.6",,,,
2001-2002,Female,70 and over,All,Potassium,"2,263.0",76.4,"2,112.1","2,413.9",,,,
2001-2002,Male,2-19,All,Potassium,"2,515.4",64.1,"2,388.8","2,642.1",,,,
2001-2002,Male,2-5,All,Potassium,"2,215.8",52.9,"2,111.4","2,320.2",,,,
2001-2002,Male,6-11,All,Potassium,"2,340.5",79.3,"2,183.7","2,497.2",,,,
2001-2002,Male,12-19,All,Potassium,"2,791.0",81.2,"2,630.6","2,951.4",,,,
2001-2002,Male,20 and over,All,Potassium,"3,177.0",72.1,"3,034.5","3,319.6",,,,
2001-2002,Male,20-29,All,Potassium,"3,148.7",226.3,"2,701.7","3,595.7",,,,
2001-2002,Male,30-39,All,Potassium,"3,378.6",85.1,"3,210.5","3,546.6",,,,
2001-2002,Male,40-49,All,Potassium,"3,277.6",86.3,"3,107.0","3,448.1",,,,
2001-2002,Male,50-59,All,Potassium,"3,100.2",103.9,"2,895.1","3,305.4",,,,
2001-2002,Male,60-69,All,Potassium,"3,056.6",124.5,"2,810.7","3,302.6",,,,
2001-2002,Male,70 and over,All,Potassium,"2,790.1",51.3,"2,688.8","2,891.4",,,,
2001-2002,All,2-19,All,Saturated Fat,26.1,0.3,25.5,26.7,,,,
2001-2002,All,2-19,Non-Hispanic White,Saturated Fat,25.8,0.5,24.9,26.7,,,,
2001-2002,All,2-19,Non-Hispanic Black,Saturated Fat,26.4,0.6,25.2,27.6,,,,
2001-2002,All,2-19,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Mexican American,Saturated Fat,26.3,0.6,25.2,27.4,,,,
2001-2002,All,2-5,All,Saturated Fat,21.7,0.3,21.1,22.3,,,,
2001-2002,All,6-11,All,Saturated Fat,25.3,0.4,24.5,26.1,,,,
2001-2002,All,12-19,All,Saturated Fat,28.8,0.7,27.4,30.1,,,,
2001-2002,All,20 and over,All,Saturated Fat,26.6,0.4,25.8,27.4,,,,
2001-2002,All,20 and over,Non-Hispanic White,Saturated Fat,27.5,0.5,26.4,28.5,,,,
2001-2002,All,20 and over,Non-Hispanic Black,Saturated Fat,24.7,0.6,23.6,25.8,,,,
2001-2002,All,20 and over,Non-Hispanic Asian,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Hispanic,Saturated Fat,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Mexican American,Saturated Fat,26.3,1.3,23.7,28.8,,,,
2001-2002,All,20-29,All,Saturated Fat,29.7,1.1,27.4,31.9,,,,
2001-2002,All,30-39,All,Saturated Fat,29.5,1.0,27.5,31.4,,,,
2001-2002,All,40-49,All,Saturated Fat,28.2,0.7,26.7,29.7,,,,
2001-2002,All,50-59,All,Saturated Fat,24.6,0.7,23.3,26.0,,,,
2001-2002,All,60-69,All,Saturated Fat,22.3,0.8,20.7,24.0,,,,
2001-2002,All,70 and over,All,Saturated Fat,19.2,0.4,18.4,20.0,,,,
2001-2002,Female,2-19,All,Saturated Fat,23.0,0.4,22.3,23.7,,,,
2001-2002,Female,2-5,All,Saturated Fat,20.6,0.4,19.9,21.3,,,,
2001-2002,Female,6-11,All,Saturated Fat,23.2,0.6,22.0,24.4,,,,
2001-2002,Female,12-19,All,Saturated Fat,24.1,0.6,22.9,25.3,,,,
2001-2002,Female,20 and over,All,Saturated Fat,22.0,0.3,21.5,22.5,,,,
2001-2002,Female,20-29,All,Saturated Fat,24.9,0.8,23.3,26.5,,,,
2001-2002,Female,30-39,All,Saturated Fat,24.1,1.2,21.7,26.5,,,,
2001-2002,Female,40-49,All,Saturated Fat,22.8,0.7,21.5,24.2,,,,
2001-2002,Female,50-59,All,Saturated Fat,20.7,0.6,19.5,22.0,,,,
2001-2002,Female,60-69,All,Saturated Fat,18.8,0.7,17.5,20.2,,,,
2001-2002,Female,70 and over,All,Saturated Fat,16.6,0.5,15.6,17.5,,,,
2001-2002,Male,2-19,All,Saturated Fat,29.2,0.5,28.2,30.2,,,,
2001-2002,Male,2-5,All,Saturated Fat,22.9,0.7,21.5,24.3,,,,
2001-2002,Male,6-11,All,Saturated Fat,27.3,1.0,25.4,29.2,,,,
2001-2002,Male,12-19,All,Saturated Fat,33.5,1.0,31.6,35.4,,,,
2001-2002,Male,20 and over,All,Saturated Fat,31.6,0.7,30.1,33.0,,,,
2001-2002,Male,20-29,All,Saturated Fat,35.1,2.2,30.7,39.5,,,,
2001-2002,Male,30-39,All,Saturated Fat,35.0,1.5,31.9,38.0,,,,
2001-2002,Male,40-49,All,Saturated Fat,33.3,1.3,30.8,35.7,,,,
2001-2002,Male,50-59,All,Saturated Fat,28.4,1.3,25.9,30.8,,,,
2001-2002,Male,60-69,All,Saturated Fat,26.9,1.6,23.7,30.0,,,,
2001-2002,Male,70 and over,All,Saturated Fat,22.8,0.6,21.6,24.0,,,,
2001-2002,All,2-19,All,Sodium,"3,079.0",35.4,"3,009.1","3,149.0",,,,
2001-2002,All,2-19,Non-Hispanic White,Sodium,"3,011.1",55.0,"2,902.5","3,119.7",,,,
2001-2002,All,2-19,Non-Hispanic Black,Sodium,"3,285.5",91.0,"3,105.8","3,465.3",,,,
2001-2002,All,2-19,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,2-19,Mexican American,Sodium,"3,066.0",83.2,"2,901.6","3,230.5",,,,
2001-2002,All,2-5,All,Sodium,"2,409.2",38.4,"2,333.3","2,485.0",,,,
2001-2002,All,6-11,All,Sodium,"3,113.1",82.0,"2,951.1","3,275.1",,,,
2001-2002,All,12-19,All,Sodium,"3,372.9",67.7,"3,239.1","3,506.7",,,,
2001-2002,All,20 and over,All,Sodium,"3,434.6",41.3,"3,353.0","3,516.1",,,,
2001-2002,All,20 and over,Non-Hispanic White,Sodium,"3,511.4",57.7,"3,397.4","3,625.4",,,,
2001-2002,All,20 and over,Non-Hispanic Black,Sodium,"3,314.3",100.9,"3,115.0","3,513.6",,,,
2001-2002,All,20 and over,Non-Hispanic Asian,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Hispanic,Sodium,,,,,Data are only available for Non-Hispanic Asian persons from 2011-2012 onward and for Hispanic persons from 2007-2008 onward.,,*,
2001-2002,All,20 and over,Mexican American,Sodium,"3,231.6",111.4,"3,011.5","3,451.8",,,,
2001-2002,All,20-29,All,Sodium,"3,667.8",85.7,"3,498.5","3,837.1",,,,
2001-2002,All,30-39,All,Sodium,"3,803.4",96.2,"3,613.4","3,993.4",,,,
2001-2002,All,40-49,All,Sodium,"3,590.9",126.4,"3,341.2","3,840.5",,,,
2001-2002,All,50-59,All,Sodium,"3,172.1",67.6,"3,038.6","3,305.7",,,,
2001-2002,All,60-69,All,Sodium,"3,060.5",102.1,"2,858.7","3,262.2",,,,
2001-2002,All,70 and over,All,Sodium,"2,723.4",58.7,"2,607.5","2,839.3",,,,
2001-2002,Female,2-19,All,Sodium,"2,685.8",24.7,"2,637.0","2,734.6",,,,
2001-2002,Female,2-5,All,Sodium,"2,293.2",34.7,"2,224.8","2,361.7",,,,
2001-2002,Female,6-11,All,Sodium,"2,844.9",49.2,"2,747.7","2,942.1",,,,
2001-2002,Female,12-19,All,Sodium,"2,767.7",47.1,"2,674.6","2,860.8",,,,
2001-2002,Female,20 and over,All,Sodium,"2,913.5",39.4,"2,835.7","2,991.2",,,,
2001-2002,Female,20-29,All,Sodium,"3,156.5",81.4,"2,995.8","3,317.2",,,,
2001-2002,Female,30-39,All,Sodium,"3,228.7",123.8,"2,984.2","3,473.2",,,,
2001-2002,Female,40-49,All,Sodium,"2,940.2",117.6,"2,707.9","3,172.5",,,,
2001-2002,Female,50-59,All,Sodium,"2,700.0",85.6,"2,530.9","2,869.1",,,,
2001-2002,Female,60-69,All,Sodium,"2,635.9",79.9,"2,478.1","2,793.8",,,,
